job_title,seniority_level,status,company,location,post_date,headquarter,industry,ownership,company_size,revenue,salary,skills,Cleaned_Salary,Cleaned_Revenue,Seniority_Binary,skills_parsed,work_type
data scientist,senior,on-site,company_355,"Bellevue, WA . San Francisco, CA . Seattle, WA . Palo Alto, CA",14 days ago,"San Francisco, CA, US",Technology,Public,"65,810",€130.59B,"€125,226 - €216,010","['sql', 'r', 'python']",170618.0,130.59,senior,python | r | sql,onsite
data scientist,senior,hybrid,company_848,"Cambridge, MA . Hybrid",16 days ago,"Basel, BS, CH",Healthcare,Public,"107,710",€161.05B,"€79,461",['python'],79461.0,161.05,senior,python,hybrid
data scientist,midlevel,on-site,company_231,"South San Francisco, CA . On-site",25 days ago,"Kenilworth, NJ, US",Healthcare,Public,"78,700",€231.13B,"€157,737 - €248,339","['machine learning', 'r', 'python']",203038.0,231.13,junior,machine learning | python | r,onsite
data scientist,senior,hybrid,company_182,"Navi Mumbai, Maharashtra, India . Hybrid",7 days ago,"Chicago, IL, US",Finance,Public,"9,900",Public,"€15,539","['python', 'neural network', 'sql', 'machine learning', 'deep learning']",15539.0,,senior,deep learning | machine learning | neural network | python | sql,hybrid
data scientist,midlevel,on-site,company_288,"Washington, DC . On-site",5 days ago,"Reston, VA, US",Technology,Public,"26,060",€62.89B,"€146,141 - €182,673",['python'],164407.0,62.89,junior,python,onsite
data scientist,midlevel,hybrid,company_793,"Pittsburgh, PA . Hybrid",a month ago,"Pittsburgh, PA, US",Education,,"12,659",Education,"€44,521 - €59,359","['database', 'sql', 'r', 'python']",51940.0,,junior,database | python | r | sql,hybrid
data scientist,senior,on-site,company_445,On-site,2 days ago,"Ventura, CA, US",Technology,Public,"2,300",Public,"€151,799 - €278,294",[],215046.5,,senior,,onsite
data scientist,,hybrid,company_851,"Bangalore, Karnataka, India . Hybrid",10 months ago,"Edison, NJ, US",Technology,Private,"3,570",Private,"€34,569",[],34569.0,,,,hybrid
data scientist,lead,on-site,company_420,"Bangkok, Bangkok, Thailand . On-site",a month ago,"Singapore, SG",Technology,Private,"4,570",Private,"€54,267",[],54267.0,,senior,,onsite
data scientist,senior,remote,company_037,"Remote, United States . Fully Remote",14 days ago,"San Francisco, CA, US",Finance,Private,300,Private,"€167,139",[],167139.0,,senior,,remote
data scientist,lead,hybrid,company_851,"Bangalore, Karnataka, India . Hybrid",a month ago,"Edison, NJ, US",Technology,Private,"3,560",Private,"€34,568",[],34568.0,,senior,,hybrid
data scientist,lead,remote,company_859,"Cardiff, London or Remote (UK) . Fully Remote",3 months ago,"London, GB",Technology,Private,"1,530",€4.36B,"€86,767 - €105,033",[],95900.0,4.36,senior,,remote
data scientist,senior,on-site,company_864,"St Louis, MO",a month ago,"Brentwood, MO, US",Retail,Public,"11,020",Public,"€101,079 - €157,680","['pandas', 'amazon', 'powerbi', 'git', 'r', 'python', 'scipy', 'sql', 'machine learning', 'database', 'azure', 'matplotlib', 'tableau']",129379.5,,senior,amazon | azure | database | git | machine learning | matplotlib | pandas | powerbi | python | r | scipy | sql | tableau,onsite
data scientist,senior,on-site,company_705,"San Francisco, CA . On-site",4 months ago,"San Francisco, CA, US",Technology,Private,90,Private,"€155,269 - €189,976",[],172622.5,,senior,,onsite
data scientist,senior,hybrid,company_667,"Mountain View, CA, US . San Francisco, CA, US . Hybrid",9 days ago,"Mountain View, CA, US",Technology,Private,"2,810",Private,"€226,506",[],226506.0,,senior,,hybrid
data scientist,senior,hybrid,company_083,"Madrid, Community of Madrid, Spain . Hybrid",21 days ago,"Paris, IDF, FR",Technology,Private,"263,610",€25.51B,"€32,158","['pandas', 'numpy', 'aws', 'r', 'python', 'scikit-learn', 'machine learning', 'gcp', 'deep learning', 'azure', 'matplotlib']",32158.0,25.51,senior,aws | azure | deep learning | gcp | machine learning | matplotlib | numpy | pandas | python | r | scikit-learn,hybrid
data scientist,senior,hybrid,company_870,"Chicago, Illinois, United States . New York, New York, United States . Hybrid",13 days ago,"Chicago, IL, US",Technology,Private,420,Private,"€159,841 - €205,507",[],182674.0,,senior,,hybrid
data scientist,lead,on-site,company_235,"San Antonio, TX",7 days ago,"San Antonio, TX, US",Finance,Private,"33,010",Private,"€150,499 - €287,662","['r', 'python', 'sql', 'database', 'machine learning']",219080.5,,senior,database | machine learning | python | r | sql,onsite
data scientist,lead,on-site,company_871,"San Francisco, CA",7 days ago,"San Francisco, CA, US",Technology,Private,45,Private,"€164,407 - €191,806","['pytorch', 'aws', 'machine learning', 'azure', 'deep learning', 'tensorflow']",178106.5,,senior,aws | azure | deep learning | machine learning | pytorch | tensorflow,onsite
data scientist,senior,on-site,company_185,"Linthicum Heights, MD . On-site",7 days ago,"Falls Church, VA, US",Technology,Public,"97,070",€75.05B,"€158,745 - €197,653","['pandas', 'numpy', 'python', 'sql', 'database', 'matplotlib', 'tableau']",178199.0,75.05,senior,database | matplotlib | numpy | pandas | python | sql | tableau,onsite
data scientist,senior,on-site,company_873,"Santa Clara, CA . On-site",15 days ago,"Santa Clara, CA, US",Technology,Private,75,Private,"€146,140 - €219,206",[],182673.0,,senior,,onsite
data scientist,senior,on-site,company_422,"Englewood, CO . On-site",14 days ago,"Englewood, CO, US",Technology,Public,"2,520",Public,"€75,957 - €108,508","['amazon', 'r', 'python', 'sql', 'database', 'machine learning', 'tableau']",92232.5,,senior,amazon | database | machine learning | python | r | sql | tableau,onsite
data scientist,midlevel,on-site,company_878,"San Francisco, CA . San Jose, CA . Seattle, WA",2 days ago,"San Jose, CA, US",Technology,Public,"21,310",€144.62B,"€99,560 - €175,732","['spark', 'python', 'sql', 'hadoop', 'machine learning']",137646.0,144.62,junior,hadoop | machine learning | python | spark | sql,onsite
data scientist,senior,on-site,company_880,United States,a month ago,"San Diego, CA, US",Retail,Public,"27,030",Public,"€94,812 - €142,214","['aws', 'scikit-learn', 'python', 'sql', 'machine learning', 'gcp', 'azure']",118513.0,,senior,aws | azure | gcp | machine learning | python | scikit-learn | sql,onsite
data scientist,,hybrid,company_403,"Boston, MA . Hybrid",8 days ago,"Boston, MA, US",Retail,Public,"17,040",Public,"€110,516 - €120,563",[],115539.5,,,,hybrid
machine learning engineer,senior,on-site,company_883,"Newport Beach, CA . Ньюпорт-Бич, Калифорния, Соединенные Штаты Америки",18 days ago,"Walldorf, BW, DE",Technology,Public,"117,800",€104.16B,"€114,167 - €127,867","['pytorch', 'machine learning', 'database', 'deep learning', 'tensorflow']",121017.0,104.16,senior,database | deep learning | machine learning | pytorch | tensorflow,onsite
data scientist,lead,remote,company_236,Canada . Fully Remote,2 days ago,"Miami, FL, US",Technology,Private,30,Private,"€200,938 - €246,604","['sql', 'machine learning']",223771.0,,senior,machine learning | sql,remote
data scientist,senior,hybrid,company_032,"San Diego, CA . Hybrid",3 months ago,"Minato City, JP",Technology,Public,"110,020",€84.89B,"€149,700 - €224,593","['pandas', 'numpy', 'scikit-learn', 'python', 'sql', 'machine learning', 'deep learning']",187146.5,84.89,senior,deep learning | machine learning | numpy | pandas | python | scikit-learn | sql,hybrid
data scientist,midlevel,hybrid,company_061,"Manchester, England, United Kingdom . Hybrid",7 days ago,"Manchester, GB",Technology,Public,"1,310",Public,"€36,538 - €54,805","['airflow', 'spark', 'machine learning', 'python']",45671.5,,junior,airflow | machine learning | python | spark,hybrid
data scientist,senior,hybrid,company_309,"New York, United States . Hybrid",5 days ago,"New York, NY, US",Technology,Private,"3,510",Private,"€137,008 - €150,708","['pandas', 'pytorch', 'aws', 'r', 'python', 'sql', 'machine learning', 'deep learning']",143858.0,,senior,aws | deep learning | machine learning | pandas | python | pytorch | r | sql,hybrid
data scientist,senior,hybrid,company_885,"Bethesda, MD . Hybrid",14 days ago,"Reston, VA, US",Technology,,"1,060",Nonprofit,"€130,245 - €203,539","['sql', 'r', 'python']",166892.0,,senior,python | r | sql,hybrid
machine learning engineer,,on-site,company_312,"San Francisco, CA . Seattle, WA . New York, NY . On-site",6 days ago,"Montreal, QC, CA",Technology,Private,31,Private,"€200,936 - €296,835",[],248885.5,,,,onsite
data scientist,senior,on-site,company_744,"Hillsboro, OR . Portland, OR . Lake Oswego, OR",14 days ago,"Roseburg, OR, US",Finance,Public,"3,790",Public,"€81,245 - €150,875","['aws', 'r', 'python', 'sql', 'machine learning', 'azure']",116060.0,,senior,aws | azure | machine learning | python | r | sql,onsite
data scientist,senior,hybrid,company_115,"Bengaluru, Karnataka, India . Hybrid",7 days ago,"Frankfurt am Main, HE, DE",Finance,Public,"68,440",Public,"€24,203","['pytorch', 'aws', 'python', 'sql', 'gcp', 'azure', 'tensorflow']",24203.0,,senior,aws | azure | gcp | python | pytorch | sql | tensorflow,hybrid
data scientist,senior,on-site,company_251,"Alpharetta, GA",14 days ago,"Roseland, NJ, US",Technology,Public,"65,130",Public,"€58,368 - €156,350","['aws', 'powerbi', 'r', 'python', 'sql', 'machine learning', 'tableau']",107359.0,,senior,aws | machine learning | powerbi | python | r | sql | tableau,onsite
data scientist,,on-site,company_096,"New York, New York, United States . On-site",a month ago,"San Francisco, CA, US",Finance,Private,950,€11.38B,"€138,834 - €173,541",[],156187.5,11.38,,,onsite
data scientist,senior,hybrid,company_146,"Toronto, ON . Hybrid",12 days ago,"San Francisco, CA, US",Finance,Private,780,€11.85B,"€179,015 - €246,144",[],212579.5,11.85,senior,,hybrid
data scientist,,hybrid,company_081,"Toronto, Canada . Hybrid",7 days ago,"San Francisco, CA, US",Technology,Public,"5,010",€4.42B,"€98,647",[],98647.0,4.42,,,hybrid
data scientist,senior,on-site,company_007,"Vancouver, British Columbia, Canada . Marina del Rey, CA . Los Angeles Metropolitan Area . Kirkland, WA . Redwood City, CA",7 days ago,"Redwood City, CA, US",Technology,Public,"25,920",€33.70B,"€121,844 - €176,460","['git', 'python', 'docker', 'sql', 'machine learning', 'kubernetes', 'deep learning']",149152.0,33.7,senior,deep learning | docker | git | kubernetes | machine learning | python | sql,onsite
machine learning engineer,senior,on-site,company_135,"Taipei, Taiwan . On-site",2 months ago,TW,Technology,Private,530,Private,"€36,342",[],36342.0,,senior,,onsite
data scientist,lead,hybrid,company_905,United States . Hybrid,3 months ago,"Buffalo, NY, US",Finance,Public,"16,880",Public,"€105,680 - €176,131","['python', 'neural network', 'sql', 'database', 'machine learning', 'tableau']",140905.5,,senior,database | machine learning | neural network | python | sql | tableau,hybrid
data scientist,senior,on-site,company_392,United States,a month ago,"Jacksonville, FL, US",Finance,Public,"62,070",€35.42B,"€157,013 - €263,790","['spark', 'aws', 'python', 'sql', 'machine learning', 'gcp', 'azure']",210401.5,35.42,senior,aws | azure | gcp | machine learning | python | spark | sql,onsite
data scientist,lead,on-site,company_909,"New York, NY",a month ago,"Milwaukee, WI, US",Finance,Private,"32,340",Private,"€129,722 - €230,343","['spark', 'r', 'python', 'java', 'sql', 'machine learning']",180032.5,,senior,java | machine learning | python | r | spark | sql,onsite
